Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
05-JAN-2026,27925.2,27977.8,27768.1,27851.45,104923293,10460.66
02-JAN-2026,27676.6,27927.6,27650.25,27899.15,111392583,9059.41
01-JAN-2026,27662.15,27680.6,27574.35,27666.8,60288297,5133.16
31-DEC-2025,27420.95,27679.95,27417.7,27613.3,78611043,7916.92
30-DEC-2025,27338.3,27463.05,27248.5,27382.8,160523933,18100.18
29-DEC-2025,27464.05,27505.45,27311.1,27363.5,65185959,6505.43
26-DEC-2025,27539.55,27571.55,27391.85,27430.75,52293616,5249.12
24-DEC-2025,27575.05,27722.7,27529.7,27565.5,74041797,7999.97
23-DEC-2025,27513.45,27620.25,27483.6,27584.55,95499622,9810.57
22-DEC-2025,27455.8,27519.65,27420.2,27479.85,98259207,10686.77
19-DEC-2025,27351.9,27410.65,27291.45,27378.6,128950666,12980.32
18-DEC-2025,27153.25,27400.45,27153.25,27267.1,77877865,7626.16
17-DEC-2025,27424,27446.7,27190.7,27251.95,86053919,8932.93
16-DEC-2025,27516.25,27538,27352.75,27385.55,95043502,9778.02
15-DEC-2025,27511.85,27648.05,27499.15,27603.15,63879942,6588.08
12-DEC-2025,27648.1,27716,27582.95,27672.6,64056607,6799.82
11-DEC-2025,27426.2,27641.65,27347.4,27561.9,71618523,7879.11
10-DEC-2025,27558.05,27633.1,27373.1,27404.3,79514395,8203.61
09-DEC-2025,27537.4,27638.05,27460.4,27549.75,98796169,10508.31
08-DEC-2025,27835.35,27863.7,27603.35,27687.15,100068035,9824.6
05-DEC-2025,27533.45,27901.45,27519.4,27881.9,96081168,9634.65
04-DEC-2025,27605.2,27697.05,27507.85,27611.45,86831432,8642.1
03-DEC-2025,27492.15,27654,27434.8,27629.6,94121539,9123.05
02-DEC-2025,27617.6,27717.8,27544.75,27565.25,111318671,11254.05
01-DEC-2025,28065.5,28065.5,27751.45,27814.5,75888715,8431.79
28-NOV-2025,27954.9,27990.35,27868.2,27890.25,74488298,8057.31
27-NOV-2025,27835.05,28055.35,27802.25,27946.2,109303068,12118.96
26-NOV-2025,27370.55,27814.6,27370.55,27799.5,100471631,10200.13
25-NOV-2025,27538.95,27589.35,27381.65,27409.4,98895600,10163.94
24-NOV-2025,27629.8,27740.2,27419.6,27498.65,160808089,15642.1
21-NOV-2025,27742.3,27772,27551.2,27566.15,87081524,10024.57
20-NOV-2025,27698.7,27903.85,27624.45,27861.35,88594151,10568.77
19-NOV-2025,27534.05,27664.65,27437.4,27643.7,83458266,9406.49
18-NOV-2025,27643.25,27657.25,27499.3,27546.75,89809671,9876.31
17-NOV-2025,27550.55,27665.75,27496.6,27646.2,87409961,9557.18
14-NOV-2025,27245.25,27523.35,27245.25,27491.85,103015835,11784.66
13-NOV-2025,27284.95,27507.35,27264.35,27396.15,103399735,10732.03
12-NOV-2025,27472.55,27476.7,27297.15,27337.35,109817924,13062.54
11-NOV-2025,27246.65,27311.35,27003.15,27279.3,107597977,11050.64
10-NOV-2025,27247.4,27390.5,27222.1,27305.05,86419024,9218.6
07-NOV-2025,26956.9,27309.9,26874.4,27238.75,119447048,13866.55
06-NOV-2025,27103.15,27197.5,27011.55,27033.1,129552608,12950.68
04-NOV-2025,27230.4,27320.2,27159.15,27195.8,107257720,10808.9
03-NOV-2025,27093.45,27370.45,27086.7,27306.15,111669410,11496.49
31-OCT-2025,27329.4,27461.6,27120.95,27138.85,117940646,12559.38
30-OCT-2025,27483.35,27555.35,27358,27376,97444820,8960.75
29-OCT-2025,27497.2,27627.85,27414.85,27587.65,116032893,10760.16
28-OCT-2025,27441.65,27549.9,27299.4,27453.95,162316272,17344.45
27-OCT-2025,27447.4,27585.55,27388.95,27519,98036333,10295.57
24-OCT-2025,27603.25,27623.3,27295.1,27395.3,85686121,8685.7
23-OCT-2025,27689.2,27774.7,27504.3,27556.65,162837145,16937.44
21-OCT-2025,27533.15,27571.25,27479.6,27536.85,19513806,2017.01
20-OCT-2025,27584.25,27723.95,27463.05,27505.5,122008939,12254.7
17-OCT-2025,27343.85,27597.7,27276.4,27538.6,114051265,11477.01
16-OCT-2025,27214.15,27429.75,27158.3,27381.2,129827421,14900.15
15-OCT-2025,26853.9,27118.5,26840.85,27071.8,118349001,11839.26
14-OCT-2025,26886.6,26972.85,26704.95,26828.3,98847385,10684.6
13-OCT-2025,26703.95,26918.7,26690.1,26885.25,84137218,9505.85
10-OCT-2025,26717.55,26925.8,26709.85,26842.25,79388920,8629.55
09-OCT-2025,26621.4,26751.35,26534.4,26724.3,80497558,8852.29
08-OCT-2025,26688.35,26822.45,26593.15,26656.4,75809225,7378.67
07-OCT-2025,26724.3,26919.8,26670.65,26777.3,114170162,11540.09
06-OCT-2025,26532.3,26724.5,26489.75,26712.05,118153282,13253.17
03-OCT-2025,26265.7,26439.4,26259.15,26426.75,111914232,11135.25
01-OCT-2025,26016.2,26414.4,25989.4,26382.2,141231604,13477.19
30-SEP-2025,26100.9,26133.15,25970.95,26022.1,125948319,12922.31
29-SEP-2025,26016.9,26111.8,25886.6,26007,137913604,13552.16
26-SEP-2025,26152.4,26197.15,25945.45,25985.25,91978299,8899.54
25-SEP-2025,26352.3,26431.65,26222.8,26247.4,126114462,12749.48
24-SEP-2025,26471.2,26532.85,26308.35,26388.45,87642384,8731.31
23-SEP-2025,26504.6,26641.45,26464,26559.5,114528141,11477.85
22-SEP-2025,26513.15,26658.95,26479.1,26528.4,67672547,6938.07
19-SEP-2025,26646.15,26664.25,26463.75,26527.6,128395387,12283.5
18-SEP-2025,26685.9,26723.95,26588.5,26698.65,94718245,8672.01
17-SEP-2025,26500.85,26611.05,26495.55,26563.55,91542383,8682.28
16-SEP-2025,26329.25,26515.2,26328.85,26495.3,87985651,8554.56
15-SEP-2025,26384.25,26468.45,26342.6,26393.05,77634658,6700.95
12-SEP-2025,26228.7,26375.35,26140.15,26363.25,81650961,7782.2
11-SEP-2025,26051.4,26223.05,26047.25,26178.7,73628152,7145.34
10-SEP-2025,26124.65,26190.75,26056.8,26123.75,86824352,8619.7
09-SEP-2025,26025.05,26033.35,25905.4,25961.95,65597879,6210.67
08-SEP-2025,25950.8,26092.55,25858.95,25942.7,57229136,5532.28
05-SEP-2025,25986.55,25986.55,25727.8,25889.3,62096357,5657.27
04-SEP-2025,25973.3,26024.85,25797.35,25853.4,108301833,10426.32
03-SEP-2025,25562.3,25763.1,25481.95,25732.55,81562445,7811.57
02-SEP-2025,25774.95,25830.6,25529.7,25572.95,76117371,6484.6
01-SEP-2025,25561.65,25756.95,25561.6,25743.5,70866984,6242.12
29-AUG-2025,25575.4,25750.5,25539.75,25567.7,97692358,7817.26
28-AUG-2025,25832.7,25910.4,25619.2,25640.3,130371713,11109.66
26-AUG-2025,26244.35,26297.85,25922.5,25952.6,109108326,9362.46
25-AUG-2025,26321.35,26378.95,26260.95,26306.9,63918669,6617.47
22-AUG-2025,26537.75,26565,26297.15,26317.05,62665740,6642.98
21-AUG-2025,26624.05,26641.8,26530.7,26573.35,68599370,7083.3
20-AUG-2025,26535,26567.3,26419,26487.8,59255157,5765.68
19-AUG-2025,26564.7,26663.5,26504.6,26592.3,65991514,6713.11
18-AUG-2025,26670.2,26840.3,26592.8,26609.1,95666772,10064.27
14-AUG-2025,26204.65,26390.95,26189.25,26333.45,75141976,9597.63
13-AUG-2025,26282.3,26287.05,26142.7,26238.4,68011544,6854.86
12-AUG-2025,26367.5,26415.05,26112.7,26135.3,65147944,6265.17
11-AUG-2025,26165.55,26426.4,26138,26405.8,76897899,7258.9
08-AUG-2025,26379.85,26425.7,26129.8,26167.35,72348931,6729.27
07-AUG-2025,26265.5,26451.05,26180.3,26403.9,90731611,9365.66
06-AUG-2025,26338.1,26433.25,26288.25,26371.15,80243504,7426.34
05-AUG-2025,26434.7,26474.7,26288.85,26373.5,84989838,9084.33
04-AUG-2025,26507.2,26590.1,26412.2,26476.6,77686538,7061.65
01-AUG-2025,26619.4,26732.35,26461.05,26492.5,87165727,7581.64
31-JUL-2025,26495.15,26844.65,26462.7,26649.95,137016413,12139.17
30-JUL-2025,26749.9,26757.95,26613.55,26703.5,77833409,7690.87
29-JUL-2025,26515.15,26740.3,26495.3,26700.7,111806695,10803.04
28-JUL-2025,26684.35,26856.8,26562.1,26615.2,108689352,11217.09
25-JUL-2025,26993.9,26993.9,26735.45,26808,122472288,11367.75
24-JUL-2025,27271.85,27271.85,27003.6,27046.3,82763955,8311.86
23-JUL-2025,27063.1,27227.85,26987.1,27215.85,96631182,9263
22-JUL-2025,27109.9,27126.85,26963.25,26990.45,85942711,8141.65
21-JUL-2025,26710.05,27002.75,26637.4,26986.95,98206310,10172.52
18-JUL-2025,26694,26785.35,26513.8,26556.15,145375482,14167.28
17-JUL-2025,26959.35,26968.5,26790.05,26809.45,97489664,10661.76
16-JUL-2025,26993.5,27022.9,26866.35,26916.4,100077797,9833.29
15-JUL-2025,26782.65,26967.15,26780.7,26928.95,74653317,7807.33
14-JUL-2025,26886.9,26886.9,26703.1,26802.25,77647291,7120.46
11-JUL-2025,26917.5,27004.5,26808.45,26853.1,86571387,7505.25
10-JUL-2025,27130.1,27147.55,26951.05,26984.35,111649675,9991.94
09-JUL-2025,26998.05,27087.45,26931.9,27058.45,86552128,8034.11
08-JUL-2025,26802.6,27041.9,26795.5,27016.85,79805626,8951.4
07-JUL-2025,26837.85,26894.7,26772.05,26833.45,59636466,6021.64
04-JUL-2025,26773.75,26892.55,26681.25,26866.3,63716498,6014.75
03-JUL-2025,26902.95,26954.1,26719.35,26734.9,89668646,9417.08
02-JUL-2025,27157.2,27209.4,26779.2,26861.7,90248551,9224.74
01-JUL-2025,27190.9,27212.75,27069.05,27124.2,94935211,9069.17
30-JUN-2025,27364.35,27369.25,27117.25,27174.45,119369522,10160.85
27-JUN-2025,27245.55,27369.8,27083.55,27344.05,226502207,22472.5
26-JUN-2025,26882.35,27278.9,26848.05,27248.4,175985308,17535.6
25-JUN-2025,26809,26868.95,26741.8,26851.2,76350178,7896.8
24-JUN-2025,26783.3,26975.25,26678.25,26750.4,110912583,11137.99
23-JUN-2025,26448.75,26622.8,26389.55,26556.5,67516377,6062.05
20-JUN-2025,26294.1,26680.25,26292.95,26648.7,171645742,14447.21
19-JUN-2025,26379.1,26459.85,26244.85,26299.65,89026336,8407.76
18-JUN-2025,26349.8,26507.75,26319.85,26399.95,66969802,7096.65
17-JUN-2025,26577.25,26610.35,26395.35,26451.65,67029578,7193.67
